what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.ve.propertysheet,1.4.0.v20090505-2035,org.eclipse.ve.propertysheet,1255359670638
stopped,bundle,com.cea.papyrus.multidiagram,1.11.0,com.cea.papyrus.multidiagram,1255359670638
stopped,bundle,org.eclipse.gef,3.4.1.v20080806,org.eclipse.gef,1255359670638
stopped,bundle,org.eclipse.team.cvs.ui,3.3.100.r34x_20090121,org.eclipse.team.cvs.ui,1255359670638
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.0.v20080730_r341,org.eclipse.pde.api.tools.ui,1255359670638
stopped,bundle,net.sf.eclipseshell.BeanshellEnvironmentProvider,0.1.2,net.sf.eclipseshell.BeanshellEnvironmentProvider,1255359670638
stopped,bundle,net.sf.eclipseshell.RubyEnvironmentProvider,0.1.2,net.sf.eclipseshell.RubyEnvironmentProvider,1255359670638
stopped,bundle,net.sf.eclipseshell.rhinoProvider.RhinoProvider,0.1.2,net.sf.eclipseshell.rhinoProvider.RhinoProvider,1255359670638
stopped,bundle,net.sf.eclipseshell.EclipseShellPlugin,0.1.2,net.sf.eclipseshell.EclipseShellPlugin,1255359670638
stopped,bundle,org.eclipse.pde.ui.templates,3.4.0.v20080514-1500,org.eclipse.pde.ui.templates,1255359670638
stopped,bundle,org.eclipse.pde.runtime,3.4.0.v20080723-1000,org.eclipse.pde.runtime,1255359670638
stopped,bundle,org.eclipse.pde.p2.ui,1.0.0.v20080604-2000,org.eclipse.pde.p2.ui,1255359670638
stopped,bundle,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui,1255359670638
stopped,bundle,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui,1255359670638
stopped,bundle,org.codehaus.groovy.eclipse.core,2.0.0.20090814-1100-e34-N,org.codehaus.groovy.eclipse.core,1255359670638
stopped,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1255359670638
stopped,bundle,org.eclipse.jem.ui,2.0.100.R3_0_4,org.eclipse.jem.ui,1255359670638
stopped,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1255359670638
stopped,bundle,org.antlr.eclipse.ui,4.1.1,org.antlr.eclipse.ui,1255359670638
stopped,bundle,org.eclipse.gmf.doc.ui,1.1.0.v20070601-1400,org.eclipse.gmf.doc.ui,1255359670638
stopped,bundle,org.eclipse.gmf.bridge.ui.dashboard,2.0.0.v20080417-1610,org.eclipse.gmf.bridge.ui.dashboard,1255359670638
stopped,bundle,org.eclipse.gmf.bridge.ui,1.1.100.v20080417-1610,org.eclipse.gmf.bridge.ui,1255359670638
stopped,bundle,org.eclipse.gmf.map.edit,2.1.0.v20080716-1600,org.eclipse.gmf.map.edit,1255359670638
stopped,bundle,org.eclipse.gmf.tooldef.edit,2.0.0.v20080610-1132,org.eclipse.gmf.tooldef.edit,1255359670638
stopped,bundle,org.eclipse.gmf.bridge,1.1.0.v20090212-1755,org.eclipse.gmf.bridge,1255359670638
