what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.launching,3.4.1.v20080729_r341,org.eclipse.jdt.launching,1255521705154
started,bundle,org.eclipse.pde.core,3.4.0.v20090202,org.eclipse.pde.core,1255521705174
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1255521705204
started,bundle,rightClick,0.7.0,rightClick,1255521706316
started,bundle,org.eclipse.m2m.atl.core,3.0.0.v200906220943,org.eclipse.m2m.atl.core,1255521706316
started,bundle,org.eclipse.m2m.atl.engine.emfvm,3.0.0.v200906220943,org.eclipse.m2m.atl.engine.emfvm,1255521706316
started,bundle,com.cea.papyrus.uml4eastadl.extension,1.9.8,com.cea.papyrus.uml4eastadl.extension,1255521706336
started,bundle,com.cea.papyrus.profiles.standard,1.11.0,com.cea.papyrus.profiles.standard,1255521706346
started,bundle,com.cea.papyrus.uml4sysml.extension,1.2.0,com.cea.papyrus.uml4sysml.extension,1255521706356
started,bundle,org.eclipse.m2m.atl.common,3.0.0.v200906220943,org.eclipse.m2m.atl.common,1255521706817
started,bundle,org.eclipse.emf.ecore.change,2.4.0.v200902171115,org.eclipse.emf.ecore.change,1255521706837
started,bundle,org.eclipse.uml2.common,1.4.0.v200805131030,org.eclipse.uml2.common,1255521706847
started,bundle,org.eclipse.m2m.atl.engine,3.0.0.v200906220943,org.eclipse.m2m.atl.engine,1255521707127
started,bundle,com.cea.papyrus.umlutils,1.11.0,com.cea.papyrus.umlutils,1255521707147
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255521720176
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255521752372
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255521762977
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255521766903
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255521766983
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255522052033
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255522070279
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255522071441
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255522073504
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255522259531
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255522259571
