what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,1.0.4.v20080930,org.eclipse.equinox.simpleconfigurator.manipulator,1255515562267
started,bundle,org.eclipse.ui.forms,3.3.103.v20081027_34x,org.eclipse.ui.forms,1255515562267
started,bundle,org.eclipse.equinox.p2.director,1.0.4.v20081112-1019,org.eclipse.equinox.p2.director,1255515562317
started,bundle,org.eclipse.core.databinding,1.1.1.M20080827-0800b,org.eclipse.core.databinding,1255515562317
started,bundle,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui,1255515562317
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,org.eclipse.mylyn.commons.net,1255515562317
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1255515562317
started,bundle,org.eclipse.jdt.core,3.4.5.20090814-1100-e34-N,org.eclipse.jdt.core,1255515562317
started,bundle,org.eclipse.mylyn.context.core,3.2.0.v20090617-0100-e3x,org.eclipse.mylyn.context.core,1255515562317
started,bundle,org.eclipse.equinox.p2.exemplarysetup,1.0.0.v20080427-2136,org.eclipse.equinox.p2.exemplarysetup,1255515562317
started,bundle,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console,1255515562317
started,bundle,org.eclipse.ui.views.log,1.0.0.v20080803-1700,org.eclipse.ui.views.log,1255515562317
started,bundle,org.eclipse.core.runtime,3.4.0.v20080512,org.eclipse.core.runtime,1255515562317
started,bundle,org.eclipse.equinox.p2.engine,1.0.4.v20080930,org.eclipse.equinox.p2.engine,1255515562317
started,bundle,org.eclipse.team.core,3.4.2.r34x_20080115,org.eclipse.team.core,1255515562317
started,bundle,org.eclipse.equinox.registry,3.4.0.v20080516-0950,org.eclipse.equinox.registry,1255515562317
started,bundle,org.eclipse.emf.common,2.4.0.v200902171115,org.eclipse.emf.common,1255515562317
started,bundle,org.eclipse.equinox.p2.updatechecker,1.0.0.v20080427-2136,org.eclipse.equinox.p2.updatechecker,1255515562317
started,bundle,org.eclipse.emf.ecore,2.4.2.v200902171115,org.eclipse.emf.ecore,1255515562777
started,bundle,org.eclipse.uml2.uml,2.2.2.v200811051031,org.eclipse.uml2.uml,1255515562808
started,bundle,org.eclipse.emf.ecore.xmi,2.4.1.v200902171115,org.eclipse.emf.ecore.xmi,1255515563208
started,bundle,org.eclipse.emf.validation,1.2.0.v200807161729,org.eclipse.emf.validation,1255515563679
started,bundle,org.eclipse.mylyn.team.ui,3.2.0.v20090617-0100-e3x,org.eclipse.mylyn.team.ui,1255515563709
started,bundle,org.eclipse.update.scheduler,3.2.100.v20080404,org.eclipse.update.scheduler,1255515563709
started,bundle,org.eclipse.update.core,3.2.202.R34x_v20081128,org.eclipse.update.core,1255515563769
