what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.emf.workspace.ui,1.2.0.v200805130238,org.eclipse.emf.workspace.ui,1255359670718
stopped,bundle,org.eclipse.emf.edit.ui,2.4.2.v200902171115,org.eclipse.emf.edit.ui,1255359670718
stopped,bundle,org.eclipse.emf.common.ui,2.4.0.v200902171115,org.eclipse.emf.common.ui,1255359670718
stopped,bundle,org.eclipse.m2m.atl.core.ui.vm,3.0.0.v200906220943,org.eclipse.m2m.atl.core.ui.vm,1255359670718
stopped,bundle,org.eclipse.m2m.atl.adt.debug,3.0.0.v200906220943,org.eclipse.m2m.atl.adt.debug,1255359670718
stopped,bundle,org.eclipse.m2m.atl.adt.editor,3.0.0.v200906220943,org.eclipse.m2m.atl.adt.editor,1255359670718
stopped,bundle,org.eclipse.mylyn.commons.ui,3.2.0.v20090617-0100-e3x,org.eclipse.mylyn.commons.ui,1255359670718
stopped,bundle,org.eclipse.gmf.xpand.editor,1.0.0.v20080812-2100,org.eclipse.gmf.xpand.editor,1255359670718
stopped,bundle,org.eclipse.ecf.example.collab.editor,1.0.200.v20081224-1728,org.eclipse.ecf.example.collab.editor,1255359670718
stopped,bundle,org.eclipse.ecf.provider.ui,1.3.0.v20081224-1728,org.eclipse.ecf.provider.ui,1255359670718
stopped,bundle,org.eclipse.ecf.provider.bittorrent.ui,0.2.0.v20081224-1728,org.eclipse.ecf.provider.bittorrent.ui,1255359670718
stopped,bundle,org.eclipse.ecf.filetransfer.ui,1.4.0.v20081224-1728,org.eclipse.ecf.filetransfer.ui,1255359670718
stopped,bundle,org.eclipse.ecf.provider.irc.ui,1.3.0.v20081224-1728,org.eclipse.ecf.provider.irc.ui,1255359670718
stopped,bundle,org.eclipse.ecf.provider.xmpp.ui,2.1.0.v20081224-1728,org.eclipse.ecf.provider.xmpp.ui,1255359670718
stopped,bundle,org.eclipse.ecf.docshare,2.0.0.v20081224-1728,org.eclipse.ecf.docshare,1255359670718
stopped,bundle,org.eclipse.ecf.presence.collab.ui,1.2.0.v20081224-1728,org.eclipse.ecf.presence.collab.ui,1255359670718
stopped,bundle,org.eclipse.ecf.presence.ui,1.2.0.v20081224-1728,org.eclipse.ecf.presence.ui,1255359670718
stopped,bundle,org.eclipse.ecf.example.collab,1.3.0.v20081224-1728,org.eclipse.ecf.example.collab,1255359670718
stopped,bundle,org.eclipse.ecf.ui,2.0.0.v20081224-1728,org.eclipse.ecf.ui,1255359670718
stopped,bundle,com.cea.papyrus.extensionpoints.transformation,1.11.0,com.cea.papyrus.extensionpoints.transformation,1255359670718
stopped,bundle,org.eclipse.m2m.atl.core.ui,3.0.0.v200906220943,org.eclipse.m2m.atl.core.ui,1255359670718
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools,1255359670718
stopped,bundle,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui,1255359670758
stopped,bundle,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.editors,1255359670758
stopped,bundle,org.eclipse.wst.validation.ui,1.2.4.v200901291336,org.eclipse.wst.validation.ui,1255359670758
